ano,tipoProposicao,numero,ementa,tipo_veto,tipo_veto_conflito,resultado_rotulo,resultado_fonte,pergunta_invertida,data_votacao,votacao_materia,votos_sim,votos_nao,abstencoes,fonte,na_janela_de_coleta,documento_id
2021,PL,1880,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,1903,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,1907,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2023-08-30,BLOCO VETOS PODER EXECUTIVO 30.08.2023,14,0,0,painel,nao,
2021,PL,1915,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,1940,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2021,PL,1941,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2021,PL,1949,,indeterminado,nao,REPROVADO,painel_resultado_rotulo,sim,2026-04-29,BLOCO DE VETOS 29/04/2026 - PELA REJEIÇÃO,0,17,0,painel,nao,
2021,PL,1986,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2021,PL,2036,,indeterminado,nao,REPROVADO,painel_resultado_rotulo,nao,2025-06-03,BLOCO VETOS 03.06.2025,0,16,0,painel,nao,
2021,PL,2051,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,2059,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,2064,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,2103,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2021,PL,2107,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2021,PL,2115,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2021,PL,2143,,indeterminado,nao,REPROVADO,painel_resultado_rotulo,nao,2025-12-03,BLOCO DE VETOS DE 03/12/2025,0,17,0,painel,nao,
2021,PL,2173,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2025-05-13,BLOCO DE VETOS DE 13/05/2025,18,0,0,painel,nao,
2021,PL,2224,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,2228,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,2237,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2023-08-30,BLOCO VETOS PODER EXECUTIVO 30.08.2023,14,0,0,painel,nao,
2021,PL,2242,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2021,PL,2252,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2023-08-30,BLOCO VETOS PODER EXECUTIVO 30.08.2023,14,0,0,painel,nao,
2021,PL,2276,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,2277,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,2279,,indeterminado,nao,REPROVADO,painel_resultado_rotulo,sim,2026-04-29,BLOCO DE VETOS 29/04/2026 - PELA REJEIÇÃO,0,17,0,painel,nao,
2021,PL,2308,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2021,PL,2312,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2023-08-30,BLOCO VETOS PODER EXECUTIVO 30.08.2023,14,0,0,painel,nao,
2021,PL,2347,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,2366,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2021,PL,2383,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,2397,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,2416,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2021,PL,2419,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,2420,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,2421,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,2424,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,2449,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,2457,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PLC,100,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PLC,77,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2023-08-30,BLOCO VETOS PODER EXECUTIVO 30.08.2023,14,0,0,painel,nao,
2021,PLC,88,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PLC,97,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PLC,99,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2023-08-30,BLOCO VETOS PODER EXECUTIVO 30.08.2023,14,0,0,painel,nao,
2022,PL,109,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
