cnpj,empresa,contratos,valor_contratado,sancionada,ordens_bancarias,valor_recebido,tambem_fornece_a_gabinete,valor_recebido_de_gabinete,as_of
26780991000166,JOSE ADEILDO ALVES SIQUEIRA LTDA (JAAS COMERCIAL),1,"5.385,00",não,3,"19.711,90",não,,2026-06-26T15:56:41
39603847000104,MRENERGY RAONI ALDERETE LTDA,1,"0,00",não,3,"19.705,00",não,,2026-06-26T15:56:41
10902520000143,CASA LIMPA DEDETIZADORA - ME,1,"23.796,00",não,11,"19.675,37",não,,2026-06-26T15:56:41
23484444000145,3F LTDA,2,"12.388,00",não,3,"18.261,27",não,,2026-06-26T15:56:41
48199907000158,P. CHELES COMERCIO E SERVICOS LTDA,1,"18.017,00",não,4,"18.017,00",não,,2026-06-26T15:56:41
27149997000100,ECOPENSE AMBIENTAL-LTDA,1,"16.797,96",não,16,"17.718,03",não,,2026-06-26T15:56:41
11545952000107,METASIX TECNOLOGIA LTDA -EPP,1,"101.899,84",não,5,"17.572,84",não,,2026-06-26T15:56:41
11325221000156,CLICK NET BRASIL TELECOMUNICACAO LTDA,1,"21.600,00",não,11,"17.324,50",não,,2026-06-26T15:56:41
00394874000170,ORGANIZAÇÃO FLORESTA ENGENHARIA E SERVIÇOS LTDA,1,"213.192,26",não,2,"16.879,92",não,,2026-06-26T15:56:41
07048323000102,RC RAMOS COMÉRCIO LTDA,1,"5.725,00",não,5,"16.778,30",não,,2026-06-26T15:56:41
09447062000110,CLESIO MENES BERNARDES,1,"16.100,00",não,2,"16.100,00",não,,2026-06-26T15:56:41
05965853000181,LOGICA ASSESSORIA E CONSULTORIA ATUARIAL LTDA,1,"49.900,00",não,1,"15.959,68",não,,2026-06-26T15:56:41
09618981000100,MENDES COMERCIO E SERVICOS LTDA,1,"15.700,00",não,1,"15.700,00",não,,2026-06-26T15:56:41
02085842000119,INSTITUTO ANTONIO HOUAISS DE LEXICOGRAFIA E BANCO DE DADOSDA LINGUA PORTUGUESA,1,"8.017,00",não,2,"15.697,00",não,,2026-06-26T15:56:41
26587509000176,DOUBLE SOLUCOES E TECNOLOGIA LTDA,1,"2.176,00",não,2,"15.591,00",não,,2026-06-26T15:56:41
10719671000160,ELDEX DISTRIBUIDORA DE JORNAIS E REVISTAS LTDA,1,"24.045,00",não,8,"15.237,68",não,,2026-06-26T15:56:41
33065699000127,SEGUROS SURA S.A,1,"4.636,00",não,2,"15.065,54",não,,2026-06-26T15:56:41
47211967000186,GLOBAL COMERCIO ONLINE LTDA,1,"14.394,99",não,1,"14.394,99",não,,2026-06-26T15:56:41
06107675000110,ROMEIRO ARQUITETURA E CONSTRUCOES LTDA,1,"37.500,00",não,1,"13.980,00",não,,2026-06-26T15:56:41
14738425000107,TATAMI PONTO COM LTDA,1,"13.858,00",não,1,"13.858,00",não,,2026-06-26T15:56:41
29261229000161,ASSOCIACAO BRASILEIRA DE EDITORES CIENTIFICOS,1,"11.080,00",não,2,"13.480,00",não,,2026-06-26T15:56:41
04792498000123,MERCADI PRODUTOS ESPECIAIS DE INFORMATICA LTDA,1,"13.280,00",não,1,"13.280,00",não,,2026-06-26T15:56:41
02558157000162,TELEFONICA BRASIL S.A.,1,"12.003,48",não,19,"12.905,29",sim,"2.508,68",2026-06-26T15:56:41
31968451000140,CCS MOREIRA COMERCIO DE FOTOGRAFIA E VIDEO,1,"12.158,72",não,2,"12.158,72",não,,2026-06-26T15:56:41
59456277000338,ORACLE DO BRASIL SISTEMAS LTDA,1,"12.820,11",não,1,"11.563,73",não,,2026-06-26T15:56:41
00000208000100,BANCO DE BRASÍLIA S/A - BRB | BANCO DE BRASÍLIA S/A-BRB | BANCO REGIONAL DE BRASÍLIA - BRB,3,"0,00",não,4,"10.259,58",não,,2026-06-26T15:56:41
49465331000196,JOSEMAR WELLINGTON LOURENÇO LTDA,1,"12.083,00",não,2,"10.052,50",não,,2026-06-26T15:56:41
61665785000106,GRUPO VOGGA LTDA,1,"503.949,60",não,2,"8.878,03",não,,2026-06-26T15:56:41
54144564000127,X7 INFORMATION TECHNOLOGY LTDA,1,"35.160,00",não,1,"8.614,20",não,,2026-06-26T15:56:41
27719713000166,2L COMÉRCIO E SERVIÇOS DE TELECOMUNICAÇÕES EIRELI ME,1,"16.628,40",não,1,"8.293,41",não,,2026-06-26T15:56:41
04214501000121,APOIO PRODUÇÕES ETELEMARKETING LTDA EPP,1,"7.800,00",não,1,"7.410,00",não,,2026-06-26T15:56:41
14745075000106,CONFIANÇA ADMINISTRAÇÕES E SERVIÇOS EIRELI,1,"2.339,04",não,35,"7.251,76",não,,2026-06-26T15:56:41
05379350000124,MAPE COMERCIALIZACAO E REPRESENTACAO LTDA,1,"7.011,96",não,2,"7.011,96",não,,2026-06-26T15:56:41
47035662000160,FIPAI - FUNDACAO PARA O INCREMENTO DA PESQUISA E DO APERFEICOAMENTO INDUSTRIAL,1,"25.695,00",não,2,"6.786,00",não,,2026-06-26T15:56:41
05775256000194,PROQUEST LATIN AMERICA SERVIÇOS E PRODUTOS PARA ACESSO À INFORMAÇÃO LTDA,1,"13.597,46",não,3,"6.661,58",não,,2026-06-26T15:56:41
34028316000707,EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS,2,"530.000,00",não,39,"6.458,05",não,,2026-06-26T15:56:41
12007998000135,PISONTEC COMERCIO E SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA,1,"6.449,76",não,1,"6.449,76",não,,2026-06-26T15:56:41
23230795000120,VS-VIEIRA SANTOS COM.DE ARTIGOS DE PAPELARIA E INFORMÁTICA LTDA,1,"3.875,40",não,3,"6.436,50",não,,2026-06-26T15:56:41
00814860000169,ESTERILAV ESTERILIZACAO DE MAT HOSPITALARES LTDA,1,"3.287,52",não,24,"5.936,25",não,,2026-06-26T15:56:41
42166294000176,EAS SOLUCOES E SERVICOS LTDA,1,"5.902,90",não,2,"5.902,90",não,,2026-06-26T15:56:41
11283881000111,CP MACEDO SERVICOS FOTOGRAFICOS,1,"5.900,00",não,1,"5.900,00",não,,2026-06-26T15:56:41
10277241000136,ENVIA - AGÊNCIA DE PUBLICIDADE E PROPAGANDA LTDA (Antiga FERNANDA F PONTIN),1,"1.966,92",não,35,"5.465,74",não,,2026-06-26T15:56:41
52299142000103,AION SOLUCOES TECNOLOGICAS LTDA | PEDRO HENRIQUE PINHEIRO DA CONCEICAO,2,"4.899,91",não,3,"4.887,49",não,,2026-06-26T15:56:41
27490346000171,DMP COMÉRCIO E SERVIÇOS TÉCNICOS EIRELI,1,"29.900,00",não,3,"4.548,56",não,,2026-06-26T15:56:41
38068529000110,ALLIADA COMÉRCIO ELETRÔNICOS,1,"4.422,61",não,1,"4.422,61",não,,2026-06-26T15:56:41
31170338000115,DF ELETROTECNICA COMERCIO MANUTENCAO E LOCACAO DE EQUIPAMENTOS ELETRICOS LTDA,1,"865,50",não,3,"4.298,02",não,,2026-06-26T15:56:41
72649361000174,HBL CARIMBOS E PLACAS INDUSTRIA E COMERCIO LTDA,3,"15.069,95",não,28,"3.672,31",não,,2026-06-26T15:56:41
10865146000153,BELFORT GERENCIAMENTO DE RESÍDUOS LTDA - EPP,1,"5.072,00",não,14,"3.632,42",não,,2026-06-26T15:56:41
42810782000174,MAX QUALITY COMERCIO LTDA,1,"3.613,96",não,2,"3.613,96",não,,2026-06-26T15:56:41
29646786000109,MAIS ENERGIA COMPONENTES ELETRICOS LTDA,1,"3.422,00",não,3,"3.422,00",não,,2026-06-26T15:56:41
10242721000161,BUYSOFT DO BRASIL LTDA,1,"3.239,55",não,1,"3.084,05",não,,2026-06-26T15:56:41
15813919000171,INFOCONS - PRODUTOS E SERVIÇOS DE INFORMÁTICA LTDA,1,"1.800,00",não,20,"3.011,55",não,,2026-06-26T15:56:41
30743200000103,4K COMERCIO E SERVICOS ESPECIALIZADOS LTDA,0,,sim,2,"2.999,00",não,,2026-06-26T15:56:41
39564618000110,ALEGRENSE DISTRIBUIDORA E REPRESENTACAO COMERCIAL LTDA,1,"1.629,00",não,2,"2.899,40",não,,2026-06-26T15:56:41
28076288000105,PRISMA PAPELARIA LTDA,1,"7.727,50",não,2,"2.608,50",não,,2026-06-26T15:56:41
28426824000147,GUSTAVO GONZAGA DOS SANTOS,1,"2.437,50",não,1,"2.437,50",não,,2026-06-26T15:56:41
50506800000157,DOCS CONSULTORIA ESPECIALIZADA LTDA,1,"4.813,00",não,2,"2.076,50",não,,2026-06-26T15:56:41
90090762000119,FUNDACAO ESCOLA SUPERIOR DO MINISTERIO PUBLICO,1,"12.187,45",não,1,"2.031,24",não,,2026-06-26T15:56:41
21308480000122,AR RP CERTIFICAÇÃO DIGITAL LTDA,1,"0,00",não,5,"2.026,78",não,,2026-06-26T15:56:41
27410479000190,FIESTASECO SERVIÇOS DE LAVANDERIA LTDA ME,1,"1.286,40",não,4,"1.658,80",não,,2026-06-26T15:56:41
37630109000112,MCS COMERCIO E SERVICOS INTEGRADOS LTDA,1,"1.593,84",não,2,"1.593,84",não,,2026-06-26T15:56:41
03462349000133,COPIADORA UNIVERSITÁRIA LTDA,1,"21.155,00",não,2,"102,75",não,,2026-06-26T15:56:41
23083172000171,ACADEMIA BRASILEIRA DE DIREITO ELEITORAL E POLÍTICO - ABRADEP,1,"0,00",não,0,,não,,2026-06-26T15:56:41
15457043000178,ADISTEC BRASIL INFORMATICA LTDA,1,"7.600.000,00",não,0,,não,,2026-06-26T15:56:41
03589068000146,AGÊNCIA NACIONAL DE SAÚDE SUPLEMENTAR-ANS,1,"0,00",não,0,,não,,2026-06-26T15:56:41
37287897000196,AMS Solução e Comércio Ltda,0,,sim,0,,não,,2026-06-26T15:56:41
25359140000181,"ARVVO TECNOLOGIA, CONSULTORIA E SERVICOS LTDA",1,"13.519.000,00",não,0,,não,,2026-06-26T15:56:41
00720722000110,ASSOCIAÇÃO BRASILIENSE DE CRONISTAS DESPORTIVOS - ABCD | Agência Reguladora de Águas e Saneamento do Distrito Federal - ADASA,2,"0,00",não,0,,não,,2026-06-26T15:56:41
05772338000185,"ASSOCIAÇÃO DOS SERVIDORES, EX-SERVIDORES E PENSIONISTAS DA CLDF - ASSECAM",1,"0,00",não,0,,não,,2026-06-26T15:56:41
00000000000191,BANCO DO BRASIL S/A,1,"0,00",não,0,,não,,2026-06-26T15:56:41
12875569000180,BRB SERVIÇOS S.A,1,"0,00",não,0,,não,,2026-06-26T15:56:41
23367421000150,C2H SOLUCOES EM SERVICOS LTDA,1,"5.537.936,25",não,0,,não,,2026-06-26T15:56:41
27101648000100,CAFÉ BUFFET LAGO COMÉRCIO DE ALIMENTOS EIRELI,1,"7.032,80",não,0,,não,,2026-06-26T15:56:41
00360305000104,CAIXA ECONÔMICA FEDERAL,2,"71,10",não,0,,não,,2026-06-26T15:56:41
18284407000153,CEBRASPE - CENTRO BRASILEIRO DE PESQUISA EM AVALIAÇÃO E SELEÇÃO E DE PROMOÇÃO DE EVENTOS,1,"0,00",não,0,,não,,2026-06-26T15:56:41
03557312000199,CINCO ESTRELAS TRANSPORTES E LOGISTICAS LTDA,0,,sim,0,,não,,2026-06-26T15:56:41
00046060000145,COMPANHIA DE PLANEJAMENTO DO DISTRITO FEDERAL - CODEPLAN | INSTITUTO DE PESQUISA E ESTATÍSTICA DO DISTRITO FEDERAL - IPEDF Codeplan,2,"0,00",não,0,,não,,2026-06-26T15:56:41
26963645000113,COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL - CAESB | QUALIFICAR - GESTÃO TERCEIRIZADA DE SERVIÇOS CORPORATIVOS E TECNOLOGIA EIRELI. | TECNISYS INFORMÁTICA E ASSESSORIA EMPRESARIAL LTDA.,3,"2.022.281,52",não,0,,não,,2026-06-26T15:56:41
00037457000170,COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL - NOVACAP,3,"1.948.000,00",não,0,,não,,2026-06-26T15:56:41
00530352000159,CÂMARA DOS DEPUTADOS,2,"0,00",não,0,,não,,2026-06-26T15:56:41
00475855000179,DEPARTAMENTO DE TRÂNSITO DO DISTRITO FEDERAL - DETRAN,1,"0,00",não,0,,não,,2026-06-26T15:56:41
07404500000138,DETRONIX INDUSTRIA ELETRONICA LTDA,1,"62.673,94",não,0,,não,,2026-06-26T15:56:41
15037271000199,ELIFRANCK CARVALHO GOUVEA - ME,0,,sim,0,,não,,2026-06-26T15:56:41
60555513000190,FUNDAÇÃO CARLOS CHAGAS,1,"0,00",não,0,,não,,2026-06-26T15:56:41
03495108000190,FUNDAÇÃO DE AMPARO AO TRABALHADOR PRESO DO DISTRITO FEDERAL (FUNAP/DF),2,"197.338,08",não,0,,não,,2026-06-26T15:56:41
09639459000104,GOVERNO DO DISTRITO FEDERAL - GDF,2,"1.080.000,00",não,0,,não,,2026-06-26T15:56:41
41172341000121,GSA COMERCIO DE PRODUTOS GERAIS LTDA,1,"9.137,19",não,0,,não,,2026-06-26T15:56:41
10791831000182,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE BRASÍLIA (IFB)",1,"0,00",não,0,,não,,2026-06-26T15:56:41
08847656000156,JK ENERGIA LTDA,0,,sim,0,,não,,2026-06-26T15:56:41
05471879000173,KASA MOTORS LTDA,1,"191.000,00",não,0,,não,,2026-06-26T15:56:41
21270587000129,L3 INFORMÁTICA LTDA,1,"42.899,97",não,0,,não,,2026-06-26T15:56:41
42510505000146,M & M ELETROFIBRAS LTDA,0,,sim,0,,não,,2026-06-26T15:56:41
09547021000104,MODUS CONSULTORIA ORGANIZACIONAL LTDA,1,"230.000,00",não,0,,não,,2026-06-26T15:56:41
35910893000197,MS LUCASTRANSPORTES DE CARGAS EIRELI,0,,sim,0,,não,,2026-06-26T15:56:41
21388231000194,NOXTEC SERVICOS LTDA,1,"2.043.224,40",não,0,,não,,2026-06-26T15:56:41
19892624000270,NUCTECH DO BRASIL LTDA,1,"321.000,00",não,0,,não,,2026-06-26T15:56:41
03073519000198,PROTECLINE PROTEÇÕES LINEARES LTDA,1,"175.400,00",não,0,,não,,2026-06-26T15:56:41
22884599000106,RECICLE A VIDA COOPERATIVA DE TRABALHO DE CATADORES DO DISTRITO FEDERAL,1,"0,00",não,0,,não,,2026-06-26T15:56:41
00394676000107,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEEDF,1,"0,00",não,0,,não,,2026-06-26T15:56:41
00438200000120,SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DO DF - SEBRAE/DF,1,"0,00",não,0,,não,,2026-06-26T15:56:41
03803317000154,SERVIÇO SOCIAL DA INDUSTRIA - SESI-DR-DF,1,"0,00",não,0,,não,,2026-06-26T15:56:41
03288908000998,SERVIÇO SOCIAL DO COMÉRCIO - SESC (ACT - Restaurante) | SERVIÇO SOCIAL DO COMÉRCIO - SESC (Termo de permissão de uso - Restaurante),2,"0,00",não,0,,não,,2026-06-26T15:56:41
03667884003308,SERVIÇO SOCIAL DO COMÉRCIO - SESC SP,1,"0,00",não,0,,não,,2026-06-26T15:56:41
38006836000176,SSB SUPREMOS COMÉRCIO E SERVIÇOS LTDA,0,,sim,0,,não,,2026-06-26T15:56:41
06074662000192,TECHSTEEL INTEGRAÇÃO DE SISTEMAS LTDA,0,,sim,0,,não,,2026-06-26T15:56:41
00534560000126,TRIBUNAL DE CONTAS DO DF,1,"0,00",não,0,,não,,2026-06-26T15:56:41
04099695000161,TRIBUNAL REGIONAL ELEITORAL DO DISTRITO FEDERAL (TRE-DF) | TRIBUNAL REGIONAL ELEITORAL DO DISTRITO FEDERAL - TRE - DF,2,"0,00",não,0,,não,,2026-06-26T15:56:41
14234954000173,TUDO COMERCIO DE VEICULOS LTDA,1,"280.000,00",não,0,,não,,2026-06-26T15:56:41
32578387000154,UNITECH RIO COMERCIO E SERVIÇOS LTDA,1,"1.066.593,00",não,0,,não,,2026-06-26T15:56:41
00038174000143,UNIVERSIDADE DE BRASÍLIA (UNB) | UNIVERSIDADE DE BRASÍLIA (UnB),2,"0,00",não,0,,não,,2026-06-26T15:56:41
43061297000108,"UNIVERSIDADE DO DISTRITO FEDERAL, PROFESSOR JORGE AMAURY MAIA NUNES (UnDF)",1,"0,00",não,0,,não,,2026-06-26T15:56:41
15696518000189,ZERO ZERO SETE PRODUCAO E FILMAGENS LTDA,1,"41.900,00",não,0,,não,,2026-06-26T15:56:41
