ano,tipoProposicao,autor_id,autor,apresentadas,aprovadas,rejeitadas,pendentes,nao_se_aplica,inclassificavel
2023,Projeto de Lei Complementar,26,Deputado Jorge Vianna,2,0,0,2,0,0
2023,Projeto de Lei Complementar,25,Deputado João Cardoso ,1,0,0,1,0,0
2023,Projeto de Lei Complementar,63,Deputado Max Maciel,2,1,0,1,0,0
2023,Projeto de Lei Complementar,59,Deputado Pastor Daniel de Castro,3,0,0,3,0,0
2023,Projeto de Lei Complementar,67,Deputado Rogério Morro da Cruz,8,1,0,7,0,0
2023,Projeto de Lei Complementar,66,Deputado Thiago Manzoni,2,0,0,2,0,0
2023,Projeto de Lei Complementar,58,Deputado Wellington Luiz,1,0,0,1,0,0
2023,Projeto de Lei Complementar,6,Poder Executivo,8,5,0,3,0,0
2023,Projeto de Resolução,60,Deputada Dayse Amarilio,6,1,0,5,0,0
2023,Projeto de Resolução,61,Deputada Doutora Jane,10,2,0,8,0,0
2023,Projeto de Resolução,24,Deputada Jaqueline Silva,3,1,0,2,0,0
2023,Projeto de Resolução,64,Deputada Paula Belmonte,10,1,0,9,0,0
2023,Projeto de Resolução,15,Deputado Chico Vigilante,1,1,0,0,0,0
2023,Projeto de Resolução,17,Deputado Daniel Donizet,3,1,0,2,0,0
2023,Projeto de Resolução,19,Deputado Eduardo Pedrosa,6,1,0,5,0,0
2023,Projeto de Resolução,20,Deputado Fábio Felix,3,1,0,2,0,0
2023,Projeto de Resolução,68,Deputado Gabriel Magno,4,1,0,3,0,0
2023,Projeto de Resolução,22,Deputado Hermeto,5,2,0,3,0,0
2023,Projeto de Resolução,23,Deputado Iolando,6,2,0,4,0,0
2023,Projeto de Resolução,62,Deputado Joaquim Roriz Neto,6,2,0,4,0,0
2023,Projeto de Resolução,26,Deputado Jorge Vianna,4,0,0,4,0,0
2023,Projeto de Resolução,25,Deputado João Cardoso ,7,2,0,5,0,0
2023,Projeto de Resolução,30,Deputado Martins Machado,5,1,0,4,0,0
2023,Projeto de Resolução,63,Deputado Max Maciel,4,1,0,3,0,0
2023,Projeto de Resolução,59,Deputado Pastor Daniel de Castro,14,3,0,11,0,0
2023,Projeto de Resolução,65,Deputado Pepa,8,2,0,6,0,0
2023,Projeto de Resolução,57,Deputado Ricardo Vale,5,1,0,4,0,0
2023,Projeto de Resolução,33,Deputado Robério Negreiros,5,1,0,4,0,0
2023,Projeto de Resolução,67,Deputado Rogério Morro da Cruz,6,1,0,5,0,0
2023,Projeto de Resolução,34,Deputado Roosevelt Vilela,9,3,0,6,0,0
2023,Projeto de Resolução,66,Deputado Thiago Manzoni,4,1,0,3,0,0
2023,Projeto de Resolução,58,Deputado Wellington Luiz,12,3,0,9,0,0
2023,Projeto de Resolução,56,Mesa Diretora,5,2,0,3,0,0
2023,Proposta de Emenda à Lei Orgânica,60,Deputada Dayse Amarilio,5,1,0,4,0,0
2023,Proposta de Emenda à Lei Orgânica,61,Deputada Doutora Jane,6,1,0,5,0,0
2023,Proposta de Emenda à Lei Orgânica,24,Deputada Jaqueline Silva,1,1,0,0,0,0
2023,Proposta de Emenda à Lei Orgânica,64,Deputada Paula Belmonte,4,0,0,4,0,0
2023,Proposta de Emenda à Lei Orgânica,15,Deputado Chico Vigilante,3,1,0,2,0,0
2023,Proposta de Emenda à Lei Orgânica,19,Deputado Eduardo Pedrosa,2,0,0,2,0,0
2023,Proposta de Emenda à Lei Orgânica,20,Deputado Fábio Felix,3,1,0,2,0,0
2023,Proposta de Emenda à Lei Orgânica,68,Deputado Gabriel Magno,4,1,0,3,0,0
2023,Proposta de Emenda à Lei Orgânica,22,Deputado Hermeto,2,1,0,1,0,0
2023,Proposta de Emenda à Lei Orgânica,23,Deputado Iolando,3,0,0,3,0,0
