ano,tipoProposicao,autor_id,autor,apresentadas,aprovadas,rejeitadas,pendentes,nao_se_aplica,inclassificavel
2022,Requerimento,19,Deputado Eduardo Pedrosa,63,0,0,0,63,0
2022,Requerimento,20,Deputado Fábio Felix,44,0,0,0,44,0
2022,Requerimento,22,Deputado Hermeto,15,0,0,0,15,0
2022,Requerimento,23,Deputado Iolando,31,0,0,0,31,0
2022,Requerimento,53,Deputado Janio Farias Marques (Guarda Janio),15,0,0,0,15,0
2022,Requerimento,26,Deputado Jorge Vianna,44,0,0,0,44,0
2022,Requerimento,27,Deputado José Gomes,20,0,0,0,20,0
2022,Requerimento,25,Deputado João Cardoso ,49,0,0,0,49,0
2022,Requerimento,29,Deputado Leandro Grass,197,0,0,0,197,0
2022,Requerimento,30,Deputado Martins Machado,36,0,0,0,36,0
2022,Requerimento,32,Deputado Professor Reginaldo Veras,72,0,0,0,72,0
2022,Requerimento,31,Deputado Rafael Prudente,28,0,0,0,28,0
2022,Requerimento,35,Deputado Reginaldo Sardinha,53,0,0,0,53,0
2022,Requerimento,33,Deputado Robério Negreiros,42,0,0,0,42,0
2022,Requerimento,34,Deputado Roosevelt Vilela,59,0,0,0,59,0
2022,Requerimento,36,Deputado Valdelino Barcelos,49,0,0,0,49,0
2023,Indicação,60,Deputada Dayse Amarilio,286,0,0,0,286,0
2023,Indicação,61,Deputada Doutora Jane,134,0,0,0,134,0
2023,Indicação,24,Deputada Jaqueline Silva,1340,0,0,0,1340,0
2023,Indicação,64,Deputada Paula Belmonte,118,0,0,0,118,0
2023,Indicação,15,Deputado Chico Vigilante,88,0,0,0,88,0
2023,Indicação,17,Deputado Daniel Donizet,199,0,0,0,199,0
2023,Indicação,19,Deputado Eduardo Pedrosa,219,0,0,0,219,0
2023,Indicação,20,Deputado Fábio Felix,69,0,0,0,69,0
2023,Indicação,68,Deputado Gabriel Magno,130,0,0,0,130,0
2023,Indicação,22,Deputado Hermeto,124,0,0,0,124,0
2023,Indicação,23,Deputado Iolando,54,0,0,0,54,0
2023,Indicação,62,Deputado Joaquim Roriz Neto,465,0,0,0,465,0
2023,Indicação,26,Deputado Jorge Vianna,46,0,0,0,46,0
2023,Indicação,25,Deputado João Cardoso ,66,0,0,0,66,0
2023,Indicação,30,Deputado Martins Machado,49,0,0,0,49,0
2023,Indicação,63,Deputado Max Maciel,110,0,0,0,110,0
2023,Indicação,59,Deputado Pastor Daniel de Castro,178,0,0,0,178,0
2023,Indicação,65,Deputado Pepa,82,0,0,0,82,0
2023,Indicação,31,Deputado Rafael Prudente,1,0,0,0,1,0
2023,Indicação,57,Deputado Ricardo Vale,182,0,0,0,182,0
2023,Indicação,33,Deputado Robério Negreiros,129,0,0,0,129,0
2023,Indicação,67,Deputado Rogério Morro da Cruz,136,0,0,0,136,0
2023,Indicação,34,Deputado Roosevelt Vilela,19,0,0,0,19,0
2023,Indicação,66,Deputado Thiago Manzoni,3,0,0,0,3,0
2023,Indicação,58,Deputado Wellington Luiz,94,0,0,0,94,0
2023,Moção,48,Comissão de Educação Saúde e Cultura,4,0,0,0,4,0
2023,Moção,60,Deputada Dayse Amarilio,37,0,0,0,37,0
2023,Moção,61,Deputada Doutora Jane,23,0,0,0,23,0
2023,Moção,24,Deputada Jaqueline Silva,65,1,0,0,64,0
2023,Moção,64,Deputada Paula Belmonte,27,0,0,0,27,0
2023,Moção,15,Deputado Chico Vigilante,4,0,0,0,4,0
2023,Moção,17,Deputado Daniel Donizet,27,0,0,0,27,0
2023,Moção,19,Deputado Eduardo Pedrosa,23,2,0,0,21,0
2023,Moção,20,Deputado Fábio Felix,22,0,0,0,22,0
2023,Moção,68,Deputado Gabriel Magno,41,0,0,0,41,0
2023,Moção,22,Deputado Hermeto,37,0,0,0,37,0
2023,Moção,23,Deputado Iolando,16,0,0,0,16,0
2023,Moção,62,Deputado Joaquim Roriz Neto,23,0,0,0,23,0
2023,Moção,26,Deputado Jorge Vianna,77,0,0,0,77,0
