deputado,chave,ano,mes,locacao_e_manutencao_de_imoveis,locacao_de_maquinas_e_equipamentos,aquisicao_de_material,locacao_de_veiculos,combustivel_e_lubrificante,assessoria_ou_consultoria_juridica,assessoria_ou_consultoria_especializada,divulgacao_de_atividade_parlamentar,outros,soma_das_rubricas,total_no_quadro,rubricas_somam,glosa,teto_mensal_autorizado,linhas_do_painel,as_of
HERMETO,HERMETO,2024,11,4131.66,0.00,0.00,5500.00,2006.96,0.00,0.00,4000.00,0.00,15638.62,15638.62,sim,0.00,19803.83,1,2026-09-01
HERMETO,HERMETO,2024,12,4055.82,0.00,0.00,5500.00,2180.84,0.00,0.00,4000.00,0.00,15736.66,15736.66,sim,0.00,19803.83,1,2026-09-01
HERMETO,HERMETO,2025,1,4046.00,0.00,0.00,6000.00,1178.47,0.00,4350.00,0.00,0.00,15574.47,15574.47,sim,0.00,19803.83,1,2026-09-01
HERMETO,HERMETO,2025,2,4056.73,0.00,0.00,6000.00,2513.04,0.00,4350.00,0.00,0.00,16919.77,16819.32,não,100.45,20864.78,1,2026-09-01
HERMETO,HERMETO,2025,3,4062.43,0.00,0.00,6000.00,2208.45,0.00,4350.00,0.00,0.00,16620.88,16620.88,sim,0.00,20864.78,1,2026-09-01
HERMETO,HERMETO,2025,4,4072.35,0.00,0.00,6000.00,2074.69,0.00,5000.00,0.00,0.00,17147.04,17147.04,sim,0.00,20864.78,1,2026-09-01
HERMETO,HERMETO,2025,5,4016.46,0.00,0.00,6000.00,2356.45,0.00,5000.00,0.00,0.00,17372.91,17356.91,não,0.00,20864.78,1,2026-09-01
HERMETO,HERMETO,2025,6,3599.52,0.00,0.00,6000.00,2025.36,0.00,5000.00,0.00,0.00,16624.88,16624.88,sim,0.00,20864.78,1,2026-09-01
HERMETO,HERMETO,2025,7,3667.45,0.00,0.00,6000.00,0.00,0.00,5000.00,0.00,0.00,14667.45,14667.45,sim,0.00,20864.78,1,2026-09-01
HERMETO,HERMETO,2025,8,3917.10,0.00,0.00,6000.00,0.00,0.00,5000.00,0.00,0.00,14917.10,14917.10,sim,0.00,20864.78,1,2026-09-01
HERMETO,HERMETO,2025,9,3774.14,0.00,0.00,6000.00,0.00,0.00,0.00,5000.00,0.00,14774.14,14774.14,sim,0.00,20864.78,1,2026-09-01
HERMETO,HERMETO,2025,10,4088.30,0.00,0.00,6000.00,0.00,0.00,0.00,5000.00,0.00,15088.30,15088.30,sim,0.00,20864.78,1,2026-09-01
HERMETO,HERMETO,2025,11,3124.50,0.00,0.00,4000.00,0.00,0.00,0.00,5000.00,0.00,12124.50,15124.50,não,0.00,20864.78,1,2026-09-01
HERMETO,HERMETO,2025,12,4134.24,0.00,0.00,6000.00,0.00,0.00,0.00,5000.00,0.00,15134.24,15134.24,sim,0.00,20864.78,1,2026-09-01
HERMETO,HERMETO,2026,1,4066.33,0.00,0.00,6000.00,0.00,0.00,0.00,5000.00,0.00,15066.33,15066.33,sim,0.00,20864.78,1,2026-09-01
HERMETO,HERMETO,2026,2,4080.88,0.00,0.00,6000.00,0.00,0.00,0.00,5000.00,0.00,15080.88,15080.88,sim,0.00,20864.78,1,2026-09-01
HERMETO,HERMETO,2026,3,4040.12,0.00,0.00,6000.00,0.00,0.00,0.00,5000.00,0.00,15040.12,15040.12,sim,0.00,20864.78,1,2026-09-01
HERMETO,HERMETO,2026,4,4118.58,0.00,0.00,6000.00,0.00,0.00,0.00,7000.00,0.00,17118.58,17118.58,sim,0.00,20864.78,1,2026-09-01
HERMETO,HERMETO,2026,5,4026.00,0.00,0.00,6000.00,0.00,0.00,0.00,7000.00,0.00,17026.00,17026.00,sim,0.00,20864.78,1,2026-09-01
HERMETO,HERMETO,2026,6,3746.00,0.00,0.00,6000.00,0.00,0.00,0.00,7000.00,0.00,16746.00,16746.00,sim,0.00,20864.78,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2023,1,0.00,0.00,0.00,1500.00,0.00,0.00,4000.00,0.00,0.00,5500.00,5500.00,sim,0.00,17681.99,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2023,2,0.00,0.00,0.00,4500.00,1449.27,0.00,4000.00,0.00,0.00,9949.27,9949.27,sim,0.00,17681.99,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2023,3,0.00,0.00,0.00,4500.00,1891.50,0.00,4000.00,5000.00,0.00,15391.50,15391.50,sim,0.00,17681.99,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2023,4,0.00,0.00,0.00,6300.00,1690.38,0.00,4000.00,5000.00,0.00,16990.38,16990.38,sim,0.00,18472.91,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2023,5,0.00,0.00,0.00,6300.00,718.00,0.00,4000.00,5000.00,0.00,16018.00,16018.00,sim,0.00,18472.91,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2023,6,0.00,0.00,0.00,6300.00,2574.38,0.00,4000.00,5000.00,0.00,17874.38,17874.38,sim,0.00,18472.91,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2023,7,0.00,0.00,0.00,6300.00,1475.29,0.00,4000.00,5000.00,0.00,16775.29,16775.29,sim,0.00,18472.91,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2023,8,0.00,0.00,0.00,6300.00,2530.21,0.00,4000.00,5000.00,0.00,17830.21,17830.21,sim,0.00,18472.91,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2023,9,0.00,0.00,0.00,6300.00,1894.90,0.00,4000.00,5500.00,0.00,17694.90,17694.90,sim,0.00,18472.91,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2023,10,0.00,0.00,0.00,6300.00,1737.89,0.00,4000.00,5282.01,0.00,17319.90,17319.90,sim,0.00,18472.91,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2023,11,0.00,0.00,0.00,6300.00,1949.99,0.00,4000.00,5717.52,0.00,17967.51,17967.51,sim,0.00,18472.91,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2023,12,0.00,0.00,0.00,6300.00,2540.06,0.00,4000.00,5500.00,0.00,18340.06,18340.06,sim,0.00,18472.91,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2024,1,0.00,0.00,0.00,6300.00,924.09,0.00,4000.00,5499.99,0.00,16724.08,16724.08,sim,0.00,18472.91,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2024,2,0.00,0.00,0.00,6300.00,1531.28,0.00,4000.00,5500.00,0.00,17331.28,17331.28,sim,0.00,19803.83,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2024,3,0.00,0.00,0.00,6300.00,2033.13,0.00,4000.00,5499.99,0.00,17833.12,17833.12,sim,0.00,19803.83,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2024,4,0.00,0.00,0.00,6300.00,1600.39,0.00,4000.00,5402.02,0.00,17302.41,17302.41,sim,0.00,19803.83,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2024,5,0.00,0.00,0.00,6300.00,1689.28,0.00,0.00,5000.00,0.00,12989.28,12989.28,sim,0.00,19803.83,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2024,6,0.00,0.00,0.00,6300.00,1721.66,0.00,0.00,5000.00,0.00,13021.66,13021.66,sim,0.00,19803.83,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2024,7,0.00,0.00,0.00,6300.00,1311.06,0.00,0.00,5000.00,0.00,12611.06,12611.06,sim,0.00,19803.83,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2024,8,0.00,0.00,0.00,6300.00,1771.00,0.00,0.00,5500.31,0.00,13571.31,13571.31,sim,0.00,19803.83,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2024,9,0.00,0.00,0.00,6300.00,1806.10,0.00,3000.00,5497.80,0.00,16603.90,16603.90,sim,0.00,19803.83,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2024,10,0.00,0.00,0.00,6300.00,2712.33,0.00,3000.00,5076.67,0.00,17089.00,17089.00,sim,0.00,19803.83,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2024,11,0.00,0.00,0.00,6226.01,2449.08,0.00,5852.02,5276.72,0.00,19803.83,19803.83,sim,0.00,19803.83,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2024,12,0.00,0.00,0.00,6300.00,1614.64,0.00,6000.00,5000.00,0.00,18914.64,18914.64,sim,0.00,19803.83,1,2026-09-01
IOLANDO ALMEIDA,IOLANDO,2025,1,0.00,0.00,0.00,6300.00,1053.45,0.00,6000.00,5000.00,0.00,18353.45,18353.45,sim,0.00,19803.83,1,2026-09-01
