deputado,chave,ano,mes,total_no_quadro,total_nos_comprovantes,diferenca,comprovantes,concordam,as_of_quadro,as_of_comprovantes
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2023,4,12785.97,12785.97,0.00,7,sim,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2023,5,12779.46,12779.46,0.00,7,sim,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2023,6,12193.34,12193.34,0.00,5,sim,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2023,7,12835.70,12835.70,0.00,7,sim,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2023,8,13045.32,5045.32,8000.00,7,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2023,9,15254.45,13891.24,1363.21,10,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2023,10,14787.22,13386.72,1400.50,9,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2023,11,15207.57,13755.50,1452.07,10,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2023,12,15136.11,17851.89,'-2715.78,11,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2024,1,14677.42,8000.00,6677.42,1,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2024,2,14928.29,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2024,3,14734.40,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2024,4,16222.54,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2024,5,15597.71,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2024,6,16155.98,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2024,7,15520.04,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2024,8,15482.62,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2024,9,16011.73,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2024,10,15895.88,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2024,11,15663.67,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2024,12,15807.83,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2025,1,14696.91,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2025,2,16060.42,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2025,3,17003.12,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2025,4,16711.65,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2025,5,17751.78,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2025,6,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2025,7,14490.79,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2025,8,13200.00,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2025,9,13200.00,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2025,10,13552.67,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2025,11,13735.55,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2025,12,13824.69,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2026,1,15638.48,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2026,2,14277.49,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2026,3,14666.79,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2026,4,14901.67,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2026,5,15366.65,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2026,6,15939.04,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2023,1,639.21,639.21,0.00,4,sim,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2023,2,1503.17,1503.17,0.00,7,sim,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2023,3,7475.37,2675.37,4800.00,13,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2023,4,7037.99,11837.99,'-4800.00,11,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2023,5,12475.06,3715.06,8760.00,19,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2023,6,12475.06,12934.94,'-459.88,26,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2023,7,9795.30,9795.30,0.00,5,sim,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2023,8,8855.74,12815.74,'-3960.00,22,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2023,9,7347.78,4800.00,2547.78,1,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2023,10,10709.34,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2023,11,9352.07,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2023,12,10114.26,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2024,1,8171.87,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2024,2,8581.63,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2024,3,13732.02,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2024,4,14458.34,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2024,5,13242.12,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2024,6,14188.60,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2024,7,13597.67,,,0,não,2026-09-01,2026-08-11T18:09:30
