ano,data_da_emenda,id_emenda,lei,nr_emenda,programa_de_trabalho,programa_de_trabalho_compartilhado,status,cod_unidade_orcamentaria,unidade_orcamentaria,vl_emenda,vl_lei_alteracao,vl_bloqueado_siggo,vl_disponivel,vl_empenhado,vl_desbloqueado,vl_saldo_a_solicitar,vl_liquidado,as_of
2021,2021-04-16,641,LOA - 6778/2021(PL1417-2021),00405.01,13.392.6219.4091.5924,não,ATIVO,230101,SECRETARIA DE ESTADO DE CULTURA E ECONOMIA CRIATIVA DO DISTRITO FEDERAL,"1.500,00","1.500,00","1.500,00","0,00","0,00","0,00","1.500,00","0,00",2025-12-16T18:14:28.151388
2021,2023-01-04,642,LOA - 6778/2021(PL1417-2021),00493.01,08.244.6228.9071.0022,não,ATIVO,180101,SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL DO DISTRITO FEDERAL,"150.000,00","150.000,00","0,00","150.000,00","0,00","150.000,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2023-01-04,643,LOA - 6778/2021(PL1417-2021),00132.01,08.244.6228.9071.0020,não,ATIVO,180101,SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL DO DISTRITO FEDERAL,"100.000,00","100.000,00","100.000,00","0,00","0,00","0,00","100.000,00","0,00",2025-12-16T18:14:28.151388
2021,2021-04-16,644,LOA - 6778/2021(PL1417-2021),00128.01,08.244.6228.9071.0019,não,CANCELADO,180101,SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-04-23,645,LOA - 6778/2021(PL1417-2021),00494.01,08.244.6228.9073.0016,não,CANCELADO,180101,SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-02-01,646,LOA - 6778/2021(PL1417-2021),00320.01,14.243.6211.9078.0046,não,CANCELADO,440101,SECRETARIA DE ESTADO DE JUSTIÇA E CIDADANIA,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-02-01,647,LOA - 6778/2021(PL1417-2021),00300.01,23.695.6207.9085.0025,não,ATIVO,310101,SECRETARIA DE ESTADO DE TURISMO DO DISTRITO FEDERAL,"740.000,00","740.000,00","0,00","1.344,49","738.655,51","740.000,00","0,00","738.655,51",2025-12-16T18:14:28.151388
2021,2021-04-29,648,LOA - 6778/2021(PL1417-2021),00171.01,27.812.6206.9080.0075,não,ATIVO,340101,SECRETARIA DE ESTADO DO ESPORTE E LAZER DO DISTRITO FEDERAL,"301.000,00","301.000,00","0,00","16.479,23","284.520,77","301.000,00","0,00","284.519,77",2025-12-16T18:14:28.151388
2021,2021-04-16,650,LOA - 6778/2021(PL1417-2021),00133.01,08.242.6228.9073.0014,não,ATIVO,180101,SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL DO DISTRITO FEDERAL,"360.000,00","360.000,00","360.000,00","0,00","0,00","0,00","360.000,00","0,00",2025-12-16T18:14:28.151388
2021,2021-02-01,652,LOA - 6778/2021(PL1417-2021),00304.01,13.392.6219.9075.0175,não,ATIVO,230101,SECRETARIA DE ESTADO DE CULTURA E ECONOMIA CRIATIVA DO DISTRITO FEDERAL,"4.616.716,00","4.616.716,00","140.716,00","693.561,62","3.782.438,38","4.476.000,00","140.716,00","3.782.438,38",2025-12-16T18:14:28.151388
2021,2021-02-01,653,LOA - 6778/2021(PL1417-2021),00306.01,27.812.6206.9080.0085,não,ATIVO,340101,SECRETARIA DE ESTADO DO ESPORTE E LAZER DO DISTRITO FEDERAL,"2.490.000,00","2.490.000,00","10.000,00","46.643,13","2.433.356,87","2.480.000,00","10.000,00","2.433.356,87",2025-12-16T18:14:28.151388
2021,2021-04-16,654,LOA - 6778/2021(PL1417-2021),00096.01,27.812.6206.9080.0084,não,ATIVO,340101,SECRETARIA DE ESTADO DO ESPORTE E LAZER DO DISTRITO FEDERAL,"1.700.000,00","1.700.000,00","181.000,00","222.060,42","1.296.939,58","1.519.000,00","181.000,00","1.296.939,58",2025-12-16T18:14:28.151388
2021,2023-01-04,655,LOA - 6778/2021(PL1417-2021),00112.01,23.695.6207.9085.0026,não,ATIVO,310101,SECRETARIA DE ESTADO DE TURISMO DO DISTRITO FEDERAL,"333.358,00","333.358,00","3.358,00","378,76","329.621,24","330.000,00","3.358,00","329.621,24",2025-12-16T18:14:28.151388
2021,2021-04-16,656,LOA - 6778/2021(PL1417-2021),00374.01,12.361.6211.9107.0088,não,CANCELADO,160101,SECRETARIA DE ESTADO DE EDUCAÇÃO DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-04-16,657,LOA - 6778/2021(PL1417-2021),00357.01,14.422.6211.9107.0083,não,ATIVO,440101,SECRETARIA DE ESTADO DE JUSTIÇA E CIDADANIA,"100.000,00","100.000,00","0,00","20.366,74","79.633,26","0,00","100.000,00","79.633,26",2025-12-16T18:14:28.151388
2021,2021-04-16,658,LOA - 6778/2021(PL1417-2021),00108.01,11.244.6228.9071.0021,não,ATIVO,90101,CASA CIVIL DO DISTRITO FEDERAL,"1.000.000,00","1.000.000,00","110.000,00","285.000,00","605.000,00","890.000,00","110.000,00","539.381,61",2025-12-16T18:14:28.151388
2021,2021-04-23,659,LOA - 6778/2021(PL1417-2021),00518.01,23.695.6207.9085.0024,não,ATIVO,310101,SECRETARIA DE ESTADO DE TURISMO DO DISTRITO FEDERAL,"200.000,00","200.000,00","0,00","12,17","199.987,83","200.000,00","0,00","199.987,83",2025-12-16T18:14:28.151388
2021,2021-05-13,660,LOA - 6778/2021(PL1417-2021),00021.01,27.812.6206.9080.0078,não,ATIVO,190112,ADM. REG. DO GUARÁ,"170.000,00","170.000,00","0,00","18.053,46","151.946,54","170.000,00","0,00","151.946,54",2025-12-16T18:14:28.151388
2021,2021-03-16,661,LOA - 6778/2021(PL1417-2021),00033.01,14.243.6211.9078.0042,não,CANCELADO,670101,SECRETARIA DE ESTADO DA FAMÍLIA DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-04-16,662,LOA - 6778/2021(PL1417-2021),00148.01,13.392.6219.9075.0176,não,CANCELADO,230101,SECRETARIA DE ESTADO DE CULTURA E ECONOMIA CRIATIVA DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-02-01,663,LOA - 6778/2021(PL1417-2021),00290.01,11.122.8228.3678.6122,não,CANCELADO,250101,"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA DO DISTRITO FEDERAL","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-04-29,664,LOA - 6778/2021(PL1417-2021),00170.01,23.695.6207.9085.0023,não,ATIVO,310101,SECRETARIA DE ESTADO DE TURISMO DO DISTRITO FEDERAL,"765.000,00","765.000,00","0,00","21,63","764.978,37","765.000,00","0,00","764.978,37",2025-12-16T18:14:28.151388
2021,2021-04-17,665,LOA - 6778/2021(PL1417-2021),00421.01,27.812.6206.9080.0087,não,ATIVO,340101,SECRETARIA DE ESTADO DO ESPORTE E LAZER DO DISTRITO FEDERAL,"750.000,00","750.000,00","0,00","500.784,96","249.215,04","750.000,00","0,00","249.215,04",2025-12-16T18:14:28.151388
2021,2021-04-16,666,LOA - 6778/2021(PL1417-2021),00146.01,23.695.6207.9085.0028,não,CANCELADO,310101,SECRETARIA DE ESTADO DE TURISMO DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-04-16,667,LOA - 6778/2021(PL1417-2021),00020.01,27.811.6206.9080.0077,não,CANCELADO,190112,ADM. REG. DO GUARÁ,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
