ano,tipo_votacao,co_materia,materia,data,votos_sim,votos_nao,abstencoes,votos_nao_informado,total_votos,as_of,ementa
2023,NOMINAL,6600,2º TURNO PROJETO DE LEI COMPLEMENTAR Nº 13/2023,2023-04-12,15,0,0,0,15,2026-08-27,"ALTERA DISPOSITIVOS DA LEI COMPLEMENTAR Nº 769, DE 30 DE JUNHO DE 2008, QUE REORGANIZA E UNIFICA O REGIME PRÓPRIO DE PREVIDÊNCIA SOCIAL DO DISTRITO FEDERAL - RPPS/DF E DÁ OUTRAS PROVIDÊNCIAS, PARA ACRESCENTAR DISPOSITIVOS SOBRE A APOSENTADORIA POR CUIDADOS MATERNOS."
2023,NOMINAL,6601,PARECER CAS AO PLC Nº 13/2023,2023-03-28,0,0,0,1,1,2026-08-27,"ALTERA DISPOSITIVOS DA LEI COMPLEMENTAR Nº 769, DE 30 DE JUNHO DE 2008, QUE REORGANIZA E UNIFICA O REGIME PRÓPRIO DE PREVIDÊNCIA SOCIAL DO DISTRITO FEDERAL - RPPS/DF E DÁ OUTRAS PROVIDÊNCIAS, PARA ACRESCENTAR DISPOSITIVOS SOBRE A APOSENTADORIA POR CUIDADOS MATERNOS."
2023,NOMINAL,6619,1º TURNO PROJETO DE LEI COMPLEMENTAR Nº 12/2023,2023-03-28,14,0,0,0,14,2026-08-27,"ACRESCENTA INCISO XI AO ART. 130 DA LEI COMPLEMENTAR N° 840, DE 23 DE DEZEMBRO DE 2011, PARA GARANTIR LICENÇA DE TRÊS DIAS CONSECUTIVOS, A CADA MÊS, ÀS MULHERES QUE COMPROVEM SINTOMAS GRAVES ASSOCIADOS AO FLUXO MENSTRUAL."
2023,NOMINAL,6621,2º TURNO PROJETO DE LEI COMPLEMENTAR Nº 12/2023,2023-04-12,14,0,0,0,14,2026-08-27,"ACRESCENTA INCISO XI AO ART. 130 DA LEI COMPLEMENTAR N° 840, DE 23 DE DEZEMBRO DE 2011, PARA GARANTIR LICENÇA DE TRÊS DIAS CONSECUTIVOS, A CADA MÊS, ÀS MULHERES QUE COMPROVEM SINTOMAS GRAVES ASSOCIADOS AO FLUXO MENSTRUAL."
2023,NOMINAL,6635,TURNO ÚNICO MOÇÃO Nº 57/2023,2023-03-21,12,7,0,0,19,2026-08-27,"MANIFESTA MOÇÃO DE REPÚDIO AO DEPUTADO FEDERAL NIKOLAS FERREIRA, (PL-MG), REFERENTE A DISCURSO TRANSFÓBICO PROFERIDO NA TRIBUNA DA CÂMARA FEDERAL EM 08 DE MARÇO DE 2023."
2023,NOMINAL,6694,TURNO ÚNICO PDL Nº 13/2023,2023-06-27,21,0,0,0,21,2026-08-27,"HOMOLOGA OS CONVÊNIOS DE ICMS NºS 133/2021, 158/2021, 218/2021, 31/2022 E 141/2022, QUE ALTERAM O CONVÊNIO ICMS Nº 87/02, APROVADOS PELO CONSELHO NACIONAL DE POLÍTICA FAZENDÁRIA - CONFAZ."
2023,NOMINAL,6695,TURNO ÚNICO PDL Nº 9/2023,2023-06-27,21,0,0,0,21,2026-08-27,"HOMOLOGA OS CONVÊNIOS ICMS NºS 50, DE 5 DE JULHO DE 2018; 59, DE 30 DE JULHO DE 2020; 161, DE 9 DE OUTUBRO DE 2021; 204, DE 9 DE DEZEMBRO DE 2021 E 230, DE 17 DE DEZEMBRO DE 2021, QUE ALTERAM O CONVÊNIO ICMS Nº 38, DE 30 DE MARÇO DE 2012."
2023,NOMINAL,6758,VETO PARCIAL AO PLC Nº 113/2022.,2023-04-04,2,18,0,0,20,2026-08-27,"VETO PARCIAL AO PLC N° 113 DE 2022 AO INCISO VIII DO ART. 1º; À ALÍNEA B DO INCISO I E AO INCISO II, AMBOS DO ART. 2º; AOS INCISOS I E III DO ART. 3º; E AO INCISO VIII DO ART. 4°"
2023,NOMINAL,6794,PARECER DA CESC AO PROC 04/2023,2023-04-11,19,0,2,0,21,2026-08-27,"PARECER DA CESC AO PROCESSO N° 04 DE 2023, QUE DISPÕE SOBRE A INDICAÇÃO DO NOME DO DR. JURACY CAVALCANTE LACERDA JÚNIOR PARA OCUPAR O CARGO DE DIRETOR-PRESIDENTE DO INSTITUTO DE GESTÃO ESTRATÉGICA DE SAÚDE DO DISTRITO FEDERAL - IGES/DF.."
2023,NOMINAL,6797,BLOCO REQUERIMENTOS E MOÇÕES 19.04.2023,2023-04-19,13,0,0,0,13,2026-08-27,"REQUERIMENTOS Nº 381, 396, 403, 404, 429, 431, 432 E 435, TODOS DE 2023.                                                            MOÇÕES Nº 91 A 100, TODAS DE 2023."
