ano,mes,mes_numero,tipo,linhas,matriculas_distintas,creditos,descontos,auxilios,liquido
2013,Setembro,9,PENSÃO ESPECIAL EC41/03 - TEMPORÁRIA,14,14,"0,00","0,00","0,00","31.360,05"
2013,Setembro,9,PENSÃO ESPECIAL EC41/03 - VITALÍCIA,14,14,"0,00","0,00","0,00","77.639,14"
2013,Setembro,9,REQUISITADO - CLT,5,5,"0,00","0,00","0,00","29.408,52"
2013,Setembro,9,REQUISITADO - ESTATUTÁRIO,75,75,"0,00","0,00","0,00","282.972,04"
2013,Outubro,10,COMISSIONADO,830,830,"5.078.568,02","'-1.639.808,95","0,00","3.438.759,07"
2013,Outubro,10,CONCURSADO,724,724,"11.786.924,34","'-4.905.348,23","0,00","6.881.576,11"
2013,Outubro,10,DEPUTADO,24,24,"483.509,40","'-182.107,94","0,00","301.401,46"
2013,Outubro,10,INATIVO,156,156,"2.526.991,87","'-897.028,85","0,00","1.629.963,02"
2013,Outubro,10,PENSIONISTA,39,39,"202.949,41","'-53.455,56","0,00","149.493,85"
2013,Outubro,10,REQUISITADO,80,80,"428.486,28","'-107.866,28","0,00","320.620,00"
2013,Novembro,11,COMISSIONADO,804,804,"4.884.250,21","'-1.573.220,22","0,00","3.311.029,99"
2013,Novembro,11,CONCURSADO,722,722,"11.888.005,67","'-4.920.689,77","0,00","6.967.315,90"
2013,Novembro,11,DEPUTADO,24,24,"481.728,15","'-175.780,44","0,00","305.947,71"
2013,Novembro,11,INATIVO,156,156,"2.497.451,72","'-909.704,12","0,00","1.587.747,60"
2013,Novembro,11,PENSIONISTA,38,38,"202.892,14","'-54.832,49","0,00","148.059,65"
2013,Novembro,11,REQUISITADO,78,78,"437.729,96","'-109.906,92","0,00","327.823,04"
2013,Dezembro,12,COMISSIONADO,818,818,"4.853.509,97","'-1.585.250,62","0,00","3.268.259,35"
2013,Dezembro,12,CONCURSADO,722,722,"11.577.260,61","'-4.921.310,48","0,00","6.655.950,13"
2013,Dezembro,12,DEPUTADO,24,24,"482.173,24","'-166.615,92","0,00","315.557,32"
2013,Dezembro,12,INATIVO,155,155,"2.480.882,47","'-901.265,22","0,00","1.579.617,25"
2013,Dezembro,12,PENSIONISTA,41,41,"223.123,11","'-61.847,57","0,00","161.275,54"
2013,Dezembro,12,REQUISITADO,78,78,"433.874,29","'-122.940,71","0,00","310.933,58"
2014,Janeiro,1,COMISSIONADO,817,817,"6.064.240,13","'-1.703.106,27","0,00","4.361.133,86"
2014,Janeiro,1,CONCURSADO,721,721,"15.402.774,33","'-5.663.892,07","0,00","9.728.316,13"
2014,Janeiro,1,DEPUTADO,24,24,"483.509,40","'-168.180,10","0,00","315.329,30"
2014,Janeiro,1,INATIVO,155,155,"2.730.155,97","'-1.014.806,02","0,00","1.715.349,95"
2014,Janeiro,1,PENSIONISTA,41,41,"223.436,21","'-57.681,75","0,00","165.754,46"
2014,Janeiro,1,REQUISITADO,80,80,"537.291,68","'-132.210,78","0,00","405.080,90"
2014,Fevereiro,2,COMISSIONADO,823,823,"5.642.286,43","'-1.723.222,62","0,00","3.919.063,81"
2014,Fevereiro,2,CONCURSADO,719,719,"13.896.013,41","'-5.457.148,69","0,00","8.438.864,72"
2014,Fevereiro,2,DEPUTADO,24,24,"483.784,12","'-167.605,39","0,00","316.178,73"
2014,Fevereiro,2,INATIVO,156,156,"2.752.751,53","'-1.001.411,36","0,00","1.751.340,17"
2014,Fevereiro,2,PENSIONISTA,41,41,"241.696,86","'-68.411,67","0,00","173.285,19"
2014,Fevereiro,2,REQUISITADO,81,81,"496.840,67","'-122.921,66","0,00","373.919,01"
2014,Março,3,COMISSIONADO,832,832,"5.774.645,87","'-1.776.251,73","0,00","3.998.394,14"
2014,Março,3,CONCURSADO,718,718,"13.495.675,52","'-5.584.353,90","0,00","7.911.321,62"
2014,Março,3,DEPUTADO,24,24,"483.646,76","'-165.679,76","0,00","317.967,00"
2014,Março,3,INATIVO,157,157,"2.743.390,68","'-1.020.262,10","0,00","1.723.128,58"
2014,Março,3,PENSIONISTA,41,41,"253.773,77","'-64.849,91","0,00","188.923,86"
2014,Março,3,REQUISITADO,81,81,"487.074,91","'-128.693,18","0,00","358.381,73"
2014,Abril,4,COMISSIONADO,834,834,"5.535.803,29","'-1.721.235,79","0,00","3.814.567,50"
2014,Abril,4,CONCURSADO,717,717,"13.349.129,06","'-5.570.018,89","0,00","7.779.110,17"
2014,Abril,4,DEPUTADO,23,23,"463.604,41","'-155.144,15","0,00","308.460,26"
2014,Abril,4,INATIVO,158,158,"2.740.439,86","'-1.025.942,56","0,00","1.714.497,30"
2014,Abril,4,PENSIONISTA,41,41,"241.319,23","'-60.682,25","0,00","180.636,98"
2014,Abril,4,REQUISITADO,81,81,"499.209,81","'-128.576,97","0,00","370.632,84"
2014,Maio,5,COMISSIONADO,842,842,"5.640.717,43","'-1.764.323,07","0,00","3.876.394,36"
2014,Maio,5,CONCURSADO,717,717,"13.482.759,93","'-5.653.097,09","0,00","7.829.662,84"
2014,Maio,5,DEPUTADO,23,23,"463.604,41","'-161.626,04","0,00","301.978,37"
2014,Maio,5,INATIVO,158,158,"2.752.835,38","'-1.029.552,89","0,00","1.723.282,49"
2014,Maio,5,PENSIONISTA,41,41,"240.091,32","'-61.136,85","0,00","178.954,47"
2014,Maio,5,REQUISITADO,81,81,"495.217,39","'-131.350,09","0,00","363.867,30"
2014,Junho,6,COMISSIONADO,860,860,"7.270.742,01","'-1.795.723,17","0,00","5.475.018,84"
2014,Junho,6,CONCURSADO,715,715,"15.070.538,47","'-5.670.175,67","0,00","9.400.362,80"
2014,Junho,6,DEPUTADO,23,23,"463.604,41","'-159.252,71","0,00","304.351,70"
