unidade_normalizada,competencia,ano,mes,quantidade,com_matricula,com_afericao,apenas_nome
Setor de Taquigrafia - SETAQ,2023-08,2023,08,44,0,0,44
Seção de Administração de Sistemas - SEASI,2023-08,2023,08,3,0,0,3
Seção de Elaboração Orçamentária - SEORC,2023-08,2023,08,4,0,0,4
Seção de Infraestrutura de Tecnologia da Informação - SEINF,2023-08,2023,08,7,0,0,7
Unidade Desenvolvimento Urbano Rural e Meio Ambiente - UDA,2023-08,2023,08,10,0,0,10
Unidade de Constituição e Justiça - UCJ,2023-08,2023,08,6,0,0,6
Unidade de Economia e Finanças - UEF,2023-08,2023,08,8,0,0,8
Unidade de Saúde Educação Cultura e Desenvolvimento Científico e Tecnológico - USE,2023-08,2023,08,6,0,0,6
Assessoria Legislativa,2023-09,2023,09,4,0,0,4
Auditoria - AUDIT,2023-09,2023,09,4,0,0,4
Comissão Permanente de Contratação - CPC,2023-09,2023,09,1,0,0,1
Comissão Permanente de Tomada de Contas Especial e Sindicância,2023-09,2023,09,3,0,0,3
Comissão de Constituição e Justiça - CCJ,2023-09,2023,09,4,0,0,4
Comissão de Economia Orçamento e Finanças - CEOF,2023-09,2023,09,4,0,0,4
Comissão de Educação Saúde e Cultura,2023-09,2023,09,1,0,0,1
Comissão dos Anais e Memória,2023-09,2023,09,1,0,0,1
Coordenadoria de Engenhearia e Arquitetura - COTEA,2023-09,2023,09,3,0,0,3
Coordenadoria de Modernização e Informática - CMI,2023-09,2023,09,2,0,0,2
Diretoria de Administração e Finanças - DAF,2023-09,2023,09,2,0,0,2
Divisão de Desenvolvimento de Recursos Humanos - DDRH,2023-09,2023,09,1,0,0,1
Escola do Legislativo - ELEGIS,2023-09,2023,09,5,0,0,5
Gabinete da Mesa Diretoria - GMD,2023-09,2023,09,3,0,0,3
Setor de Apoio às Comissões Permanentes - SACP,2023-09,2023,09,4,0,0,4
Setor de Apoio às Comissões Temporárias - SACT,2023-09,2023,09,1,0,0,1
Setor de Assistência Social - SASo,2023-09,2023,09,2,0,0,2
Setor de Biblioteca - SEBIB,2023-09,2023,09,4,0,0,4
Setor de Execução Orçamentária - SEO,2023-09,2023,09,1,0,0,1
Setor de Finanças - SEFIN,2023-09,2023,09,4,0,0,4
Setor de Patrimônio - SEPAT,2023-09,2023,09,1,0,0,1
Setor de Recrutamento e Seleção - SERES,2023-09,2023,09,4,0,0,4
Setor de Taquigrafia - SETAQ,2023-09,2023,09,44,0,0,44
Setor de Tramitação Ata e Súmula  SETAS,2023-09,2023,09,1,0,0,1
Seção de Administração de Sistemas - SEASI,2023-09,2023,09,3,0,0,3
Seção de Elaboração Orçamentária - SEORC,2023-09,2023,09,4,0,0,4
Seção de Infraestrutura de Tecnologia da Informação - SEINF,2023-09,2023,09,6,0,0,6
Unidade Desenvolvimento Urbano Rural e Meio Ambiente - UDA,2023-09,2023,09,10,0,0,10
Unidade de Constituição e Justiça - UCJ,2023-09,2023,09,6,0,0,6
Unidade de Economia e Finanças - UEF,2023-09,2023,09,8,0,0,8
Unidade de Saúde Educação Cultura e Desenvolvimento Científico e Tecnológico - USE,2023-09,2023,09,6,0,0,6
Assessoria Legislativa,2023-10,2023,10,4,0,0,4
Auditoria - AUDIT,2023-10,2023,10,4,0,0,4
Comissão Permanente de Contratação - CPC,2023-10,2023,10,1,0,0,1
Comissão Permanente de Tomada de Contas Especial e Sindicância,2023-10,2023,10,3,0,0,3
Comissão de Constituição e Justiça - CCJ,2023-10,2023,10,4,0,0,4
Comissão de Economia Orçamento e Finanças - CEOF,2023-10,2023,10,4,0,0,4
Comissão de Educação Saúde e Cultura,2023-10,2023,10,1,0,0,1
Comissão dos Anais e Memória,2023-10,2023,10,1,0,0,1
Coordenadoria de Contratos e Aquisições - CONTAQ,2023-10,2023,10,3,0,0,3
Corrdenadoria de Engenhearia e Arquitetura - COTEA,2023-10,2023,10,3,0,0,3
Diretoria de Administração e Finanças - DAF,2023-10,2023,10,2,0,0,2
Divisão de Desenvolvimento de Recursos Humanos - DDRH,2023-10,2023,10,1,0,0,1
Escola do Legislativo - ELEGIS,2023-10,2023,10,5,0,0,5
Gabinete da Mesa Diretoria - GMD,2023-10,2023,10,3,0,0,3
Gabinete da Terceira Secretaria - GTS,2023-10,2023,10,1,0,0,1
Núcleo de Comunicação Organizacional,2023-10,2023,10,1,0,0,1
Ouvidoria,2023-10,2023,10,3,0,0,3
Setor de Apoio às Comissões Permanentes - SACP,2023-10,2023,10,4,0,0,4
Setor de Apoio às Comissões Temporárias - SACT,2023-10,2023,10,1,0,0,1
Setor de Assistência Social - SASo,2023-10,2023,10,2,0,0,2
Setor de Biblioteca - SEBIB,2023-10,2023,10,3,0,0,3
Setor de Finanças - SEFIN,2023-10,2023,10,4,0,0,4
Setor de Patrimônio - SEPAT,2023-10,2023,10,1,0,0,1
Setor de Recrutamento e Seleção - SERES,2023-10,2023,10,3,0,0,3
Setor de Taquigrafia - SETAQ,2023-10,2023,10,44,0,0,44
Setor de Tramitação Ata e Súmula  SETAS,2023-10,2023,10,1,0,0,1
Seção de Administração de Sistemas - SEASI,2023-10,2023,10,3,0,0,3
Seção de Elaboração Orçamentária - SEORC,2023-10,2023,10,4,0,0,4
Seção de Infraestrutura de Tecnologia da Informação - SEINF,2023-10,2023,10,6,0,0,6
Unidade Desenvolvimento Urbano Rural e Meio Ambiente - UDA,2023-10,2023,10,10,0,0,10
Unidade de Constituição e Justiça - UCJ,2023-10,2023,10,6,0,0,6
Unidade de Economia e Finanças - UEF,2023-10,2023,10,8,0,0,8
Unidade de Saúde Educação Cultura e Desenvolvimento Científico e Tecnológico - USE,2023-10,2023,10,6,0,0,6
Assessoria Legislativa,2023-11,2023,11,4,0,0,4
Assessoria de Governança Legislativa e Gestão Estratégica - ASSEGE,2023-11,2023,11,2,0,0,2
Auditoria - AUDIT,2023-11,2023,11,4,0,0,4
Comissão Permanente de Contratação - CPC,2023-11,2023,11,1,0,0,1
Comissão Permanente de Tomada de Contas Especial e Sindicância,2023-11,2023,11,3,0,0,3
Comissão de Constituição e Justiça - CCJ,2023-11,2023,11,4,0,0,4
Comissão de Economia Orçamento e Finanças - CEOF,2023-11,2023,11,5,0,0,5
Comissão de Educação Saúde e Cultura,2023-11,2023,11,1,0,0,1
Comissão dos Anais e Memória,2023-11,2023,11,1,0,0,1
