ano,sigla,numero,autor,tipo_autor,registros_na_fonte,id_proposicao,as_of
2023,IND,169,Deputado Daniel Donizet,PARLAMENTAR,1,10798,2026-09-01
2023,IND,170,Deputado Daniel Donizet,PARLAMENTAR,1,10797,2026-09-01
2023,IND,171,Deputado Daniel Donizet,PARLAMENTAR,1,10785,2026-09-01
2023,IND,172,Deputado Daniel Donizet,PARLAMENTAR,1,10784,2026-09-01
2023,IND,173,Deputado Daniel Donizet,PARLAMENTAR,1,10783,2026-09-01
2023,IND,174,Deputado Daniel Donizet,PARLAMENTAR,1,10782,2026-09-01
2023,IND,175,Deputado Daniel Donizet,PARLAMENTAR,1,10781,2026-09-01
2023,IND,176,Deputado Daniel Donizet,PARLAMENTAR,1,10780,2026-09-01
2023,IND,177,Deputado Daniel Donizet,PARLAMENTAR,1,10778,2026-09-01
2023,IND,178,Deputado Daniel Donizet,PARLAMENTAR,1,10777,2026-09-01
2023,IND,179,Deputado Daniel Donizet,PARLAMENTAR,1,10776,2026-09-01
2023,IND,180,Deputado Daniel Donizet,PARLAMENTAR,1,10775,2026-09-01
2023,IND,181,Deputado Daniel Donizet,PARLAMENTAR,1,10774,2026-09-01
2023,IND,182,Deputado Daniel Donizet,PARLAMENTAR,1,10773,2026-09-01
2023,IND,183,Deputado Daniel Donizet,PARLAMENTAR,1,10771,2026-09-01
2023,IND,184,Deputado Daniel Donizet,PARLAMENTAR,1,10770,2026-09-01
2023,IND,185,Deputado Daniel Donizet,PARLAMENTAR,1,10768,2026-09-01
2023,IND,186,Deputado Daniel Donizet,PARLAMENTAR,1,10767,2026-09-01
2023,IND,187,Deputado Daniel Donizet,PARLAMENTAR,1,10765,2026-09-01
2023,IND,188,Deputado Daniel Donizet,PARLAMENTAR,1,10764,2026-09-01
2023,IND,189,Deputado Daniel Donizet,PARLAMENTAR,1,10763,2026-09-01
2023,IND,190,Deputado Daniel Donizet,PARLAMENTAR,1,10762,2026-09-01
2023,IND,191,Deputado Daniel Donizet,PARLAMENTAR,1,10761,2026-09-01
2023,IND,192,Deputado Daniel Donizet,PARLAMENTAR,1,10760,2026-09-01
2023,IND,193,Deputado Daniel Donizet,PARLAMENTAR,1,10759,2026-09-01
2023,IND,194,Deputado Daniel Donizet,PARLAMENTAR,1,10758,2026-09-01
2023,IND,195,Deputado Daniel Donizet,PARLAMENTAR,1,10756,2026-09-01
2023,IND,196,Deputado Daniel Donizet,PARLAMENTAR,1,10755,2026-09-01
2023,IND,197,Deputado Daniel Donizet,PARLAMENTAR,1,10754,2026-09-01
2023,IND,198,Deputado Daniel Donizet,PARLAMENTAR,1,10753,2026-09-01
2023,IND,199,Deputado Daniel Donizet,PARLAMENTAR,1,10752,2026-09-01
2023,IND,200,Deputado Daniel Donizet,PARLAMENTAR,1,10751,2026-09-01
2023,IND,201,Deputado Daniel Donizet,PARLAMENTAR,1,10750,2026-09-01
2023,IND,202,Deputado Daniel Donizet,PARLAMENTAR,1,10749,2026-09-01
2023,IND,203,Deputado Daniel Donizet,PARLAMENTAR,1,10748,2026-09-01
2023,IND,204,Deputado Daniel Donizet,PARLAMENTAR,1,10747,2026-09-01
2023,IND,205,Deputado Daniel Donizet,PARLAMENTAR,1,10746,2026-09-01
2023,IND,206,Deputado Daniel Donizet,PARLAMENTAR,1,10745,2026-09-01
2023,IND,207,Deputado Daniel Donizet,PARLAMENTAR,1,10744,2026-09-01
2023,IND,208,Deputado Daniel Donizet,PARLAMENTAR,1,10743,2026-09-01
2023,IND,209,Deputado Daniel Donizet,PARLAMENTAR,1,10742,2026-09-01
2023,IND,210,Deputado Daniel Donizet,PARLAMENTAR,1,10741,2026-09-01
2023,IND,211,Deputado Daniel Donizet,PARLAMENTAR,1,10740,2026-09-01
2023,IND,212,Deputado Daniel Donizet,PARLAMENTAR,1,10739,2026-09-01
2023,IND,213,Deputado Daniel Donizet,PARLAMENTAR,1,10738,2026-09-01
2023,IND,214,Deputado Daniel Donizet,PARLAMENTAR,1,10737,2026-09-01
2023,IND,215,Deputado Daniel Donizet,PARLAMENTAR,1,10736,2026-09-01
2023,IND,216,Deputado Daniel Donizet,PARLAMENTAR,1,10734,2026-09-01
2023,IND,217,Deputado Daniel Donizet,PARLAMENTAR,1,10731,2026-09-01
2023,IND,218,Deputado Daniel Donizet,PARLAMENTAR,1,10729,2026-09-01
2023,IND,219,Deputado Daniel Donizet,PARLAMENTAR,1,10728,2026-09-01
2023,IND,220,Deputado Daniel Donizet,PARLAMENTAR,1,10727,2026-09-01
2023,IND,221,Deputado Daniel Donizet,PARLAMENTAR,1,10726,2026-09-01
2023,IND,222,Deputado Daniel Donizet,PARLAMENTAR,1,10725,2026-09-01
2023,IND,223,Deputado Daniel Donizet,PARLAMENTAR,1,10723,2026-09-01
2023,IND,224,Deputado Daniel Donizet,PARLAMENTAR,1,10722,2026-09-01
2023,IND,225,Deputado Daniel Donizet,PARLAMENTAR,1,10721,2026-09-01
2023,IND,226,Deputado Daniel Donizet,PARLAMENTAR,1,10720,2026-09-01
2023,IND,227,Deputado Daniel Donizet,PARLAMENTAR,1,10719,2026-09-01
2023,IND,228,Deputado Daniel Donizet,PARLAMENTAR,1,10718,2026-09-01
2023,IND,229,Deputado Daniel Donizet,PARLAMENTAR,1,10717,2026-09-01
2023,IND,230,Deputado Daniel Donizet,PARLAMENTAR,1,10716,2026-09-01
2023,IND,231,Deputado Daniel Donizet,PARLAMENTAR,1,10715,2026-09-01
2023,IND,232,Deputado Daniel Donizet,PARLAMENTAR,1,10714,2026-09-01
2023,IND,233,Deputado Daniel Donizet,PARLAMENTAR,1,10712,2026-09-01
2023,IND,234,Deputado Daniel Donizet,PARLAMENTAR,1,10713,2026-09-01
2023,IND,235,Deputado Daniel Donizet,PARLAMENTAR,1,10711,2026-09-01
2023,IND,236,Deputado Daniel Donizet,PARLAMENTAR,1,10709,2026-09-01
2023,IND,237,Deputado Daniel Donizet,PARLAMENTAR,1,10708,2026-09-01
2023,IND,238,Deputado Daniel Donizet,PARLAMENTAR,1,10707,2026-09-01
2023,IND,239,Deputado Daniel Donizet,PARLAMENTAR,1,10705,2026-09-01
2023,IND,240,Deputado Daniel Donizet,PARLAMENTAR,1,10704,2026-09-01
2023,IND,241,Deputado Daniel Donizet,PARLAMENTAR,1,10703,2026-09-01
2023,IND,242,Deputado Daniel Donizet,PARLAMENTAR,1,10702,2026-09-01
2023,IND,243,Deputado Daniel Donizet,PARLAMENTAR,1,10701,2026-09-01
2023,IND,244,Deputado Daniel Donizet,PARLAMENTAR,1,10700,2026-09-01
2023,IND,245,Deputado Daniel Donizet,PARLAMENTAR,1,10699,2026-09-01
2023,IND,246,Deputado Gabriel Magno,PARLAMENTAR,1,10662,2026-09-01
