ano,tipoProposicao,numero,siglaNumeroAno,categoria,veredito,emendas_acatadas,emendas_decididas,emendas_registradas,dataLeitura,ementa
2025,Projeto de Lei Complementar,84,PLC 84/2025,aprovada_com_emendas,aprovada,2,6,6,2025-09-29,"Dispõe sobre a concessão de direito real de uso para ocupação de áreas públicas intersticiais contíguas aos lotes destinados ao uso residencial, localizados nas Regiões Administrativas do Lago Sul e do Lago Norte e dá outras providências."
2025,Projeto de Lei Complementar,86,PLC 86/2025,aprovada_no_texto_original,aprovada,0,0,0,2025-10-24,"Altera a Lei Complementar nº 948, de 16 de janeiro de 2019, que ""aprova a Lei de Uso e Ocupação do Solo do Distrito Federal - LUOS, nos termos dos arts. 316 e 318 da Lei Orgânica do Distrito Federal e dá outras providências"", e dá outras providências."
2025,Projeto de Lei Complementar,87,PLC 87/2025,pendente,pendente,0,0,18,2025-11-03,"Cria o Fundo de Desenvolvimento Integrado do Entorno do Distrito Federal – FDIE/DF, e dá outras providências."
2025,Projeto de Lei Complementar,89,PLC 89/2025,aprovada_no_texto_original,aprovada,0,0,0,2025-11-19,"Altera a Lei Complementar nº 948, de 16 de janeiro de 2019, que ""aprova a Lei de Uso e Ocupação do Solo do Distrito Federal - Luos, nos termos dos arts. 316 e 318 da Lei Orgânica do Distrito Federal, e dá outras providências""."
2025,Projeto de Lei Complementar,90,PLC 90/2025,aprovada_com_emendas,aprovada,2,2,3,2025-11-19,"Altera a Lei Complementar nº 986, de 30 de junho de 2021, que dispõe sobre a Regularização Fundiária Urbana - Reurb no Distrito Federal."
2025,Projeto de Lei Complementar,91,PLC 91/2025,pendente,pendente,0,0,7,2025-11-27,"Altera a Lei Complementar nº 948, de 16 de janeiro de 2019, que aprova a Lei de Uso e Ocupação do Solo do Distrito Federal – Luos, nos termos dos arts. 316 e 318 da Lei Orgânica do Distrito Federal, e dá outras providências."
2025,Projeto de Lei Complementar,92,PLC 92/2025,aprovada_com_emendas,aprovada,1,1,1,2025-12-01,"Dispõe sobre a concessão de jornada de trabalho diferenciada para servidoras públicas lactantes no âmbito da Administração Pública Direta, Autárquica e Fundacional do Distrito Federal."
2025,Projeto de Lei Complementar,94,PLC 94/2025,pendente,pendente,0,0,0,2025-12-09,"Altera a Lei Complementar nº 937, de 22 de dezembro 2017, que dispõe sobre a legislação distrital relativa ao Imposto sobre Serviços de Qualquer Natureza - ISS e dá outras providências."
2025,Projeto de Lei Complementar,95,PLC 95/2025,aprovada_com_emendas,aprovada,1,1,1,2025-12-10,Institui o Programa de Apoio ao Futebol do Distrito Federal – PAFDF e dá outras providências.
2025,Proposta de Emenda à Lei Orgânica,17,PELO 17/2025,pendente,pendente,0,0,0,2025-04-01,Revoga o §4º do art. 125 da Lei Orgânica do Distrito Federal.
