ano,data_da_liquidacao,data_da_ordem_bancaria,dias_entre_liquidacao_e_pagamento,cnpj_credor,credor,forma_do_registro_na_fonte,valor,objeto,categoria_de_contrato,fonte_de_recursos,obrigacoes_mais_antigas_ultrapassadas,justificativa_publicada,as_of
2026,2026-03-13,2026-03-13,0,01114245000102,CONNECTOR ENGENHARIA LTDA,cnpj,"82.295,71",SERVIÇOS DE COPEIRAGEM - JANEIRO DE 2026,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-13,2026-03-13,0,05340639000130,PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA,cnpj,"34.250,42",FORNECIMENTO DE COMBUSTÍVEIS PARA VEÍCULOS DA CLDF,FORNECIMENTO DE BENS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-13,2026-03-16,3,13498257000167,CENTRO OESTE PRESTADORA DE SERVICO DE DESINSETIZAC,cnpj,"1.841,71",SERVIÇOS DE CONTROLE DE PRAGAS - DESINSETIZAÇÃO E DESRATIZAÇÃO - FEVEREIRO DE 2026,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-13,2026-03-16,3,14062549000115,H3D SOLUCOES DE TELEINFORMATICA LTDA,cnpj,"4.898,24",SERVIÇO DE MANUTENÇÃO DO SISTEMA DA CENTRAL TELEFÔNICA - FEVEREIRO DE 2026,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-13,2026-03-16,3,,SECR. DE ESTADO DE ECONOMIA DO DF,codigo_de_orgao,"8.062,08",SERVIÇOS DE PUBLICAÇÕES DA CLDF NO DIÁRIO OFICIAL DO DF (DODF) - FEVEREIRO DE 2026,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-13,2026-03-16,3,05411789000197,SHOWCASE PRO TECNOLOGIA LTDA,cnpj,"8.818,29",SERVIÇOS DE LOCAÇÃO DE CLOSED CAPTION PARA PROGRAMAÇÃO DIÁRIA DA TV - FEVEREIRO,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-16,2026-03-16,0,11325221000156,CLICK NET BRASIL TELECOMUNICAÇÃO LTDA ME,cnpj,"1.713,60",SERVIÇOS DE LINK DE DADOS PARA ACESSO DEDICADO À INTERNET - FEVEREIRO DE 2026,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-16,2026-03-16,0,14470051000272,EBM QUINTTO COMUNICACAO LTDA,cnpj,"710.703,56",SERVIÇOS DE PUBLICIDADE - CAMPANHA: ENTREGAS 2025 - RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-16,2026-03-16,0,10719671000160,ELDEX DISTRIBUIDORA DE JORNAIS E REVISTAS LTDA-ME,cnpj,"1.921,60",SERVIÇO DE ASSINATURA DE REVISTAS E JORNAIS PERIÓDICOS EM MEIO DIGITAL - FEVEREIRO DE 2026,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-16,2026-03-16,0,07522669000192,NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S/A,cnpj,"253.673,17",SERVIÇO DE FORNECIMENTO DE ENERGIA ELÉTRICA - DEZEMBRO DE 2025 - RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-16,2026-03-16,0,10629386000159,OVER ELEVADORES EIRELI,cnpj,"9.979,20",SERVIÇOS DE ENGENHARIA PARA MANUTENÇÃO DOS ELEVADORES DA CLDF - RPNP - DEZEMBRO DE 2025,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-16,2026-03-16,0,13258899000199,SEFIX - GESTAO DE PROFISSIONAIS EIRELI,cnpj,"170.036,58","SERVIÇO DE LIMPEZA, HIGIENIZAÇÃO E CONSERVAÇÃO NA CLDF - FEVEREIRO DE 2026",PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
